CoreId,Identifier,type,rightsHolder,creator,accessURI,format,variantLiteral,license
113311475@OBS,https://observation.org/photos/9982432/,StillImage,Sebastian Schröder-Esch,Sebastian Schröder-Esch,https://observation.org/photos/9982432.jpg,image/jpeg,Best Quality,CC BY-NC-SA 4.0
104251056@OBS,https://observation.org/photos/9939165/,StillImage,Ruben Vernieuwe,Ruben Vernieuwe,https://observation.org/photos/9939165.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
113037122@OBS,https://observation.org/photos/9924743/,StillImage,cees witkamp,cees witkamp,https://observation.org/photos/9924743.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
81818911@OBS,https://observation.org/photos/9924736/,StillImage,cees witkamp,cees witkamp,https://observation.org/photos/9924736.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
81818913@OBS,https://observation.org/photos/9924735/,StillImage,cees witkamp,cees witkamp,https://observation.org/photos/9924735.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
81818952@OBS,https://observation.org/photos/9924733/,StillImage,cees witkamp,cees witkamp,https://observation.org/photos/9924733.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
113036076@OBS,https://observation.org/photos/9924440/,StillImage,cees witkamp,cees witkamp,https://observation.org/photos/9924440.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
113036076@OBS,https://observation.org/photos/9924439/,StillImage,cees witkamp,cees witkamp,https://observation.org/photos/9924439.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
81818684@OBS,https://observation.org/photos/9921695/,StillImage,cees witkamp,cees witkamp,https://observation.org/photos/9921695.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
81818684@OBS,https://observation.org/photos/9921694/,StillImage,cees witkamp,cees witkamp,https://observation.org/photos/9921694.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
81818823@OBS,https://observation.org/photos/9921682/,StillImage,cees witkamp,cees witkamp,https://observation.org/photos/9921682.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
81818221@OBS,https://observation.org/photos/9921669/,StillImage,cees witkamp,cees witkamp,https://observation.org/photos/9921669.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
81818229@OBS,https://observation.org/photos/9921628/,StillImage,cees witkamp,cees witkamp,https://observation.org/photos/9921628.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
81818809@OBS,https://observation.org/photos/9921591/,StillImage,cees witkamp,cees witkamp,https://observation.org/photos/9921591.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
81818726@OBS,https://observation.org/photos/9921573/,StillImage,cees witkamp,cees witkamp,https://observation.org/photos/9921573.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
